BASE_DE,BASE_YEAR,BASE_MT,BASE_DAY,CTPRVN_CD,CTPRVN_NM,KLEA_VIEWNG_NMPR_CO,KBO_VIEWNG_NMPR_CO,KBL_VIEWNG_NMPR_CO,WKBL_VIEWNG_NMPR_CO,KOVO_VIEWNG_NMPR_CO,SPORTS_VIEWNG_NMPR_CO,KLEA_MATCH_CO,KBO_MATCH_CO,KBL_MATCH_CO,WKBL_MATCH_CO,KOVO_MATCH_CO,SPORTS_MATCH_CO,COLCT_DE,UPDT_DE
20230209,2023,2,9,45,전북,0.0,0.0,3379.0,0.0,0.0,3379.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230210,2023,2,10,41,경기,0.0,0.0,2275.0,0.0,0.0,2275.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230210,2023,2,10,48,경남,0.0,0.0,2299.0,0.0,0.0,2299.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230211,2023,2,11,11,서울,0.0,0.0,4377.0,0.0,0.0,4377.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230211,2023,2,11,41,경기,0.0,0.0,3394.0,0.0,0.0,3394.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230212,2023,2,12,11,서울,0.0,0.0,4814.0,0.0,0.0,4814.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230212,2023,2,12,27,대구,0.0,0.0,2445.0,0.0,0.0,2445.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230212,2023,2,12,41,경기,0.0,0.0,3266.0,0.0,0.0,3266.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230213,2023,2,13,11,서울,0.0,0.0,1118.0,0.0,0.0,1118.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230214,2023,2,14,11,서울,0.0,0.0,2602.0,0.0,0.0,2602.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230215,2023,2,15,41,경기,0.0,0.0,2580.0,0.0,0.0,2580.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
