"MATCH_SEQ_NO","MATCH_DE","BASE_YEAR","BASE_MT","BASE_DAY","GRP_NM","LEA_NM","HOME_TEAM_NM","AWAY_TEAM_NM","STDM_NM","SPORTS_VIEWNG_NMPR_CO","COLCT_DE","UPDT_DE"
1442,"20250419","2025","04","19",KBO,정규리그,한화,NC,대전(신),17000.00000,"20250715","20250715"
1443,"20250420","2025","04","20",KBO,정규리그,두산,KIA,잠실,23750.00000,"20250715","20250715"
1444,"20250420","2025","04","20",KBO,정규리그,키움,KT,고척,6859.00000,"20250715","20250715"
1445,"20250420","2025","04","20",KBO,정규리그,SSG,LG,문학,23000.00000,"20250715","20250715"
1446,"20250420","2025","04","20",KBO,정규리그,삼성,롯데,대구,24000.00000,"20250715","20250715"
1447,"20250420","2025","04","20",KBO,정규리그,한화,NC,대전(신),17000.00000,"20250715","20250715"
1448,"20250422","2025","04","22",KBO,정규리그,LG,NC,잠실,12941.00000,"20250715","20250715"
1449,"20250422","2025","04","22",KBO,정규리그,키움,두산,고척,6809.00000,"20250715","20250715"
1450,"20250422","2025","04","22",KBO,정규리그,KT,SSG,수원,5497.00000,"20250715","20250715"
1451,"20250423","2025","04","23",KBO,정규리그,롯데,한화,사직,19376.00000,"20250715","20250715"
1452,"20250423","2025","04","23",KBO,정규리그,삼성,KIA,대구,22257.00000,"20250715","20250715"
1453,"20250423","2025","04","23",KBO,정규리그,LG,NC,잠실,17828.00000,"20250715","20250715"
1454,"20250423","2025","04","23",KBO,정규리그,키움,두산,고척,6801.00000,"20250715","20250715"
1455,"20250423","2025","04","23",KBO,정규리그,KT,SSG,수원,7581.00000,"20250715","20250715"
1456,"20250424","2025","04","24",KBO,정규리그,롯데,한화,사직,22669.00000,"20250715","20250715"
1457,"20250424","2025","04","24",KBO,정규리그,삼성,KIA,대구,24000.00000,"20250715","20250715"
1458,"20250424","2025","04","24",KBO,정규리그,LG,NC,잠실,19325.00000,"20250715","20250715"
1459,"20250424","2025","04","24",KBO,정규리그,키움,두산,고척,7690.00000,"20250715","20250715"
1460,"20250424","2025","04","24",KBO,정규리그,KT,SSG,수원,7815.00000,"20250715","20250715"
1461,"20250425","2025","04","25",KBO,정규리그,한화,KT,대전(신),17000.00000,"20250715","20250715"
1462,"20250425","2025","04","25",KBO,정규리그,KIA,LG,광주,20500.00000,"20250715","20250715"
1463,"20250425","2025","04","25",KBO,정규리그,두산,롯데,잠실,23750.00000,"20250715","20250715"
1464,"20250425","2025","04","25",KBO,정규리그,삼성,NC,대구,24000.00000,"20250715","20250715"
1465,"20250425","2025","04","25",KBO,정규리그,SSG,키움,문학,12140.00000,"20250715","20250715"
1466,"20250426","2025","04","26",KBO,정규리그,한화,KT,대전(신),17000.00000,"20250715","20250715"
1467,"20250426","2025","04","26",KBO,정규리그,KIA,LG,광주,20500.00000,"20250715","20250715"
1468,"20250426","2025","04","26",KBO,정규리그,두산,롯데,잠실,23750.00000,"20250715","20250715"
1469,"20250426","2025","04","26",KBO,정규리그,삼성,NC,대구,24000.00000,"20250715","20250715"
1470,"20250426","2025","04","26",KBO,정규리그,SSG,키움,문학,18641.00000,"20250715","20250715"
1471,"20250427","2025","04","27",KBO,정규리그,한화,KT,대전(신),17000.00000,"20250715","20250715"
1472,"20250427","2025","04","27",KBO,정규리그,KIA,LG,광주,20500.00000,"20250715","20250715"
1473,"20250427","2025","04","27",KBO,정규리그,두산,롯데,잠실,23750.00000,"20250715","20250715"
1474,"20250427","2025","04","27",KBO,정규리그,삼성,NC,대구,24000.00000,"20250715","20250715"
1475,"20250427","2025","04","27",KBO,정규리그,SSG,키움,문학,16422.00000,"20250715","20250715"
1476,"20250429","2025","04","29",KBO,정규리그,두산,KT,잠실,14138.00000,"20250715","20250715"
1477,"20250429","2025","04","29",KBO,정규리그,한화,LG,대전(신),17000.00000,"20250715","20250715"
1478,"20250429","2025","04","29",KBO,정규리그,키움,롯데,고척,13203.00000,"20250715","20250715"
1479,"20250429","2025","04","29",KBO,정규리그,KIA,NC,광주,10575.00000,"20250715","20250715"
1480,"20250429","2025","04","29",KBO,정규리그,SSG,삼성,문학,15481.00000,"20250715","20250715"
1481,"20250430","2025","04","30",KBO,정규리그,두산,KT,잠실,17158.00000,"20250715","20250715"
1482,"20250430","2025","04","30",KBO,정규리그,한화,LG,대전(신),17000.00000,"20250715","20250715"
1483,"20250430","2025","04","30",KBO,정규리그,키움,롯데,고척,14367.00000,"20250715","20250715"
1484,"20250430","2025","04","30",KBO,정규리그,KIA,NC,광주,15139.00000,"20250715","20250715"
1485,"20250430","2025","04","30",KBO,정규리그,SSG,삼성,문학,18998.00000,"20250715","20250715"
1486,"20250501","2025","05","01",KBO,정규리그,두산,KT,잠실,19883.00000,"20250715","20250715"
1487,"20250501","2025","05","01",KBO,정규리그,키움,롯데,고척,16000.00000,"20250715","20250715"
1488,"20250501","2025","05","01",KBO,정규리그,SSG,삼성,문학,22993.00000,"20250715","20250715"
1489,"20250502","2025","05","02",KBO,정규리그,KIA,한화,광주,20500.00000,"20250715","20250715"
1490,"20250502","2025","05","02",KBO,정규리그,롯데,NC,사직,22669.00000,"20250715","20250715"
1491,"20250502","2025","05","02",KBO,정규리그,삼성,두산,대구,24000.00000,"20250715","20250715"
1492,"20250502","2025","05","02",KBO,정규리그,LG,SSG,잠실,23750.00000,"20250715","20250715"
1493,"20250502","2025","05","02",KBO,정규리그,KT,키움,수원,12275.00000,"20250715","20250715"
1494,"20250503","2025","05","03",KBO,정규리그,롯데,NC,사직,22669.00000,"20250715","20250715"
