"MATCH_SEQ_NO","LEA_NM","MATCH_DE","HOME_TEAM_NM","AWAY_TEAM_NM","STDM_NM","SPORTS_VIEWNG_NMPR_CO"
71,K리그1,"20230826",대구,제주,대구iM뱅크PARK,12136.00000
72,K리그1,"20230902",인천,포항,인천 전용,12134.00000
73,K리그1,"20230430",울산,광주,울산 문수,12068.00000
74,K리그1,"20230604",대구,서울,대구iM뱅크PARK,12056.00000
75,K리그1,"20230505",대구,울산,대구iM뱅크PARK,11929.00000
76,K리그1,"20230805",대구,울산,대구iM뱅크PARK,11928.00000
77,K리그1,"20231112",인천,전북,인천 전용,11912.00000
78,K리그1,"20230924",대구,포항,대구iM뱅크PARK,11858.00000
79,K리그1,"20231008",수원,포항,수원 월드컵,11772.00000
80,K리그1,"20230527",대구,인천,대구iM뱅크PARK,11706.00000
81,K리그1,"20231029",수원,대전,수원 월드컵,11658.00000
82,K리그1,"20231022",서울,강원,서울 월드컵,11638.00000
83,K리그1,"20230610",대구,수원FC,대구iM뱅크PARK,11457.00000
84,K리그1,"20231125",전북,광주,전주 월드컵,11369.00000
85,K리그1,"20230825",전북,대전,전주 월드컵,11224.00000
86,K리그1,"20230722",강원,수원,강릉하이원아레나,11084.00000
87,K리그1,"20230917",수원,대구,수원 월드컵,11048.00000
88,K리그1,"20230716",전북,수원FC,전주 월드컵,10905.00000
89,K리그1,"20230304",대구,제주,대구iM뱅크PARK,10851.00000
90,K리그1,"20231008",대구,수원FC,대구iM뱅크PARK,10776.00000
91,K리그1,"20230916",전북,강원,전주 월드컵,10620.00000
92,K리그1,"20230819",강원,수원FC,강릉하이원아레나,10503.00000
93,K리그1,"20230722",대전,대구,대전 월드컵,10473.00000
94,K리그1,"20230319",수원,대전,수원 월드컵,10442.00000
95,K리그1,"20230712",서울,수원FC,서울 월드컵,10407.00000
96,K리그1,"20230225",수원,광주,수원 월드컵,10348.00000
97,K리그1,"20230806",전북,인천,전주 월드컵,10327.00000
98,K리그1,"20230422",대구,대전,대구iM뱅크PARK,10236.00000
99,K리그1,"20230509",서울,광주,서울 월드컵,10236.00000
100,K리그1,"20231202",대전,서울,대전 월드컵,10176.00000
101,플레이오프,"20231209",강원,김포,강릉하이원아레나,10130.00000
102,K리그1,"20230924",강원,인천,강릉하이원아레나,10047.00000
103,K리그1,"20230423",제주,전북,제주 월드컵,10041.00000
104,K리그1,"20230304",인천,대전,인천 전용,10011.00000
105,K리그1,"20230901",대전,수원FC,대전 월드컵,9955.00000
106,K리그1,"20230715",수원,울산,수원 월드컵,9946.00000
107,K리그1,"20230901",대구,강원,대구iM뱅크PARK,9806.00000
108,K리그1,"20231125",포항,대구,포항 스틸야드,9541.00000
109,K리그1,"20231022",대전,수원FC,대전 월드컵,9474.00000
110,K리그1,"20230625",인천,포항,인천 전용,9367.00000
111,K리그1,"20230813",인천,대구,인천 전용,9349.00000
112,K리그1,"20231001",강원,대전,강릉하이원아레나,9326.00000
113,K리그1,"20230415",수원FC,전북,수원 종합,9221.00000
114,K리그1,"20230430",포항,인천,포항 스틸야드,9173.00000
115,K리그1,"20230415",포항,서울,포항 스틸야드,9131.00000
116,K리그1,"20230826",강원,포항,강릉하이원아레나,9063.00000
117,K리그1,"20230721",포항,전북,포항 스틸야드,9055.00000
118,K리그1,"20230716",인천,대전,인천 전용,8925.00000
119,K리그1,"20231112",수원FC,수원,수원 종합,8886.00000
120,K리그1,"20230430",수원,대구,수원 월드컵,8883.00000
121,K리그1,"20230606",수원FC,울산,수원 종합,8733.00000
122,K리그1,"20230409",전북,인천,전주 월드컵,8697.00000
123,K리그1,"20230311",수원FC,수원,수원 종합,8670.00000
124,K리그1,"20230311",대전,포항,대전 월드컵,8661.00000
125,K리그1,"20230505",인천,수원,인천 전용,8637.00000
126,K리그1,"20230916",인천,제주,인천 전용,8433.00000
127,K리그1,"20230610",대전,광주,대전 월드컵,8390.00000
128,K리그1,"20230510",대전,수원FC,대전 월드컵,8377.00000
129,K리그1,"20230606",포항,제주,포항 스틸야드,8376.00000
130,K리그1,"20230812",강원,울산,강릉하이원아레나,8369.00000
131,K리그1,"20230226",제주,수원FC,제주 월드컵,8362.00000
132,K리그1,"20230712",울산,인천,울산 문수,8353.00000
133,K리그1,"20230401",인천,대구,인천 전용,8250.00000
134,K리그1,"20230422",인천,수원FC,인천 전용,8215.00000
135,K리그1,"20230607",전북,대구,전주 월드컵,8197.00000
136,K리그1,"20230903",제주,전북,제주 월드컵,8104.00000
137,K리그1,"20230312",전북,광주,전주 월드컵,8051.00000
138,K리그1,"20231111",대전,강원,대전 월드컵,8000.00000
139,K리그1,"20230711",대구,강원,대구iM뱅크PARK,7929.00000
140,K리그1,"20230510",수원,전북,수원 월드컵,7860.00000
141,K리그1,"20230924",수원FC,울산,수원 종합,7809.00000
142,K리그2,"20230923",성남,충북청주,탄천 종합,7789.00000
143,K리그1,"20231124",인천,울산,인천 전용,7601.00000
144,K리그2,"20231111",경남,김천,창원 축구센터,7547.00000
145,K리그1,"20230416",대구,광주,대구iM뱅크PARK,7534.00000
146,K리그1,"20230318",포항,강원,포항 스틸야드,7514.00000
147,K리그1,"20230916",포항,수원FC,포항 스틸야드,7469.00000
148,K리그1,"20230402",수원,강원,수원 월드컵,7428.00000
149,K리그1,"20230305",광주,서울,광주 전용,7357.00000
150,K리그1,"20231125",강원,수원FC,강릉하이원아레나,7307.00000
151,K리그1,"20230924",광주,전북,광주 전용,7303.00000
152,K리그1,"20230820",포항,대전,포항 스틸야드,7287.00000
153,K리그1,"20230607",인천,서울,인천 전용,7272.00000
154,K리그2,"20230924",서울E,안산,목동 종합,7266.00000
155,K리그1,"20230818",수원,제주,수원 월드컵,7258.00000
156,K리그1,"20230813",포항,광주,포항 스틸야드,7206.00000
157,K리그1,"20230923",제주,서울,제주 월드컵,7205.00000
158,K리그1,"20230715",강원,서울,강릉하이원아레나,7203.00000
159,K리그1,"20230930",수원FC,서울,수원 종합,7194.00000
160,K리그1,"20230304",수원FC,포항,수원 종합,7155.00000
161,K리그1,"20230402",제주,울산,제주 월드컵,7140.00000
162,K리그1,"20230318",제주,서울,제주 월드컵,7078.00000
163,K리그1,"20230611",수원,인천,수원 월드컵,7066.00000
164,K리그1,"20230408",포항,광주,포항 스틸야드,7062.00000
165,K리그2,"20230304",충북청주,김천,청주 종합,7035.00000
166,K리그1,"20230707",강원,광주,강릉하이원아레나,7006.00000
167,K리그1,"20230513",포항,대전,포항 스틸야드,7002.00000
168,플레이오프,"20231209",수원FC,부산,수원 종합,6987.00000
169,K리그1,"20230509",대구,포항,대구iM뱅크PARK,6943.00000
170,K리그1,"20230520",인천,광주,인천 전용,6663.00000
171,K리그2,"20230806",서울E,경남,목동 종합,6471.00000
172,K리그2,"20230319",부산,김천,부산 아시아드,6359.00000
