MATCH_SEQ_NO,HOME_TEAM_NM,LEA_NM,STDM_NM,MATCH_DE,SPORTS_VIEWNG_NMPR_CO
331,삼성,정규경기,잠실실내,20231201,1286.0
332,삼성,정규경기,잠실실내,20231205,1502.0
333,삼성,정규경기,잠실실내,20240101,3862.0
334,삼성,정규경기,잠실실내,20240104,1649.0
335,삼성,정규경기,잠실실내,20240106,2712.0
336,삼성,정규경기,잠실실내,20240121,4380.0
337,삼성,정규경기,잠실실내,20240130,1514.0
338,삼성,정규경기,잠실실내,20240203,3308.0
339,삼성,정규경기,잠실실내,20240204,4144.0
340,삼성,정규경기,잠실실내,20240211,3503.0
341,삼성,정규경기,잠실실내,20240213,1526.0
342,삼성,정규경기,잠실실내,20240229,1920.0
343,삼성,정규경기,잠실실내,20240302,2865.0
344,삼성,정규경기,잠실실내,20240304,973.0
345,삼성,정규경기,잠실실내,20240307,1212.0
346,삼성,정규경기,잠실실내,20240309,2283.0
347,삼성,정규경기,잠실실내,20240318,1463.0
348,삼성,정규경기,잠실실내,20240324,4190.0
349,소노,정규경기,고양 소노 아레나,20231022,5002.0
350,소노,정규경기,고양 소노 아레나,20231024,1715.0
351,소노,정규경기,고양 소노 아레나,20231029,3080.0
352,소노,정규경기,고양 소노 아레나,20231112,3525.0
353,소노,정규경기,고양 소노 아레나,20231119,3143.0
354,소노,정규경기,고양 소노 아레나,20231126,3110.0
355,소노,정규경기,고양 소노 아레나,20231128,1428.0
356,소노,정규경기,고양 소노 아레나,20231208,1566.0
357,소노,정규경기,고양 소노 아레나,20231210,3100.0
358,소노,정규경기,고양 소노 아레나,20231221,1516.0
359,소노,정규경기,고양 소노 아레나,20231223,3024.0
360,소노,정규경기,고양 소노 아레나,20231224,3515.0
361,소노,정규경기,고양 소노 아레나,20231228,1502.0
362,소노,정규경기,고양 소노 아레나,20231230,2503.0
363,소노,정규경기,고양 소노 아레나,20240117,1393.0
364,소노,정규경기,고양 소노 아레나,20240120,3103.0
365,소노,정규경기,고양 소노 아레나,20240123,1273.0
366,소노,정규경기,고양 소노 아레나,20240128,3094.0
367,소노,정규경기,고양 소노 아레나,20240130,1703.0
368,소노,정규경기,고양 소노 아레나,20240201,1594.0
369,소노,정규경기,고양 소노 아레나,20240205,1233.0
370,소노,정규경기,고양 소노 아레나,20240209,2212.0
371,소노,정규경기,고양 소노 아레나,20240214,1953.0
372,소노,정규경기,고양 소노 아레나,20240305,1603.0
373,소노,정규경기,고양 소노 아레나,20240315,1929.0
374,소노,정규경기,고양 소노 아레나,20240322,1571.0
375,소노,정규경기,고양 소노 아레나,20240331,4501.0
376,SK,정규경기,잠실학생,20231022,5202.0
377,SK,정규경기,잠실학생,20231120,4108.0
378,SK,정규경기,잠실학생,20231124,4211.0
379,SK,정규경기,잠실학생,20231130,3892.0
380,SK,정규경기,잠실학생,20231202,5207.0
381,SK,정규경기,잠실학생,20231203,4420.0
382,SK,정규경기,잠실학생,20231216,5203.0
383,SK,정규경기,잠실학생,20231225,5209.0
384,SK,정규경기,잠실학생,20240105,3614.0
385,SK,정규경기,잠실학생,20240107,5201.0
386,SK,정규경기,잠실학생,20240118,3767.0
387,SK,정규경기,잠실학생,20240120,5205.0
388,SK,정규경기,잠실학생,20240122,2801.0
389,SK,정규경기,잠실학생,20240127,5202.0
390,SK,정규경기,잠실학생,20240203,5206.0
391,SK,정규경기,잠실학생,20240210,4011.0
392,SK,정규경기,잠실학생,20240215,4702.0
393,SK,정규경기,잠실학생,20240228,3498.0
394,SK,정규경기,잠실학생,20240301,4966.0
395,SK,정규경기,잠실학생,20240303,5215.0
396,SK,정규경기,잠실학생,20240305,2724.0
397,SK,정규경기,잠실학생,20240313,2833.0
398,SK,정규경기,잠실학생,20240319,2587.0
399,SK,정규경기,잠실학생,20240321,3003.0
400,SK,정규경기,잠실학생,20240323,5004.0
401,SK,정규경기,잠실학생,20240325,3384.0
402,SK,정규경기,잠실학생,20240328,3854.0
403,SK,플레이오프,잠실학생,20240404,4982.0
404,SK,플레이오프,잠실학생,20240406,5220.0
405,LG,정규경기,창원체육관,20231021,4142.0
406,LG,정규경기,창원체육관,20231026,2256.0
407,LG,정규경기,창원체육관,20231102,1247.0
408,LG,정규경기,창원체육관,20231104,3018.0
409,LG,정규경기,창원체육관,20231110,2908.0
410,LG,정규경기,창원체육관,20231119,4224.0
411,LG,정규경기,창원체육관,20231123,2128.0
412,LG,정규경기,창원체육관,20231125,3319.0
413,LG,정규경기,창원체육관,20231207,2622.0
414,LG,정규경기,창원체육관,20231209,4640.0
415,LG,정규경기,창원체육관,20231217,4140.0
416,LG,정규경기,창원체육관,20231223,4184.0
417,LG,정규경기,창원체육관,20231224,5769.0
418,LG,정규경기,창원체육관,20231226,2786.0
419,LG,정규경기,창원체육관,20231231,5019.0
420,LG,정규경기,창원체육관,20240106,3894.0
421,LG,정규경기,창원체육관,20240107,4176.0
422,LG,정규경기,창원체육관,20240109,2564.0
423,LG,정규경기,창원체육관,20240126,3689.0
424,LG,정규경기,창원체육관,20240206,2980.0
425,LG,정규경기,창원체육관,20240212,5645.0
426,LG,정규경기,창원체육관,20240301,5247.0
427,LG,정규경기,창원체육관,20240307,1829.0
428,LG,정규경기,창원체육관,20240311,2886.0
429,LG,정규경기,창원체육관,20240317,4236.0
430,LG,정규경기,창원체육관,20240319,2356.0
431,LG,정규경기,창원체육관,20240331,4545.0
432,LG,플레이오프,창원체육관,20240416,4061.0
433,LG,플레이오프,창원체육관,20240418,4247.0
434,LG,플레이오프,창원체육관,20240424,4028.0
435,KGC,정규경기,안양 정관장 아레나,20231021,4210.0
436,KGC,정규경기,안양 정관장 아레나,20231031,1673.0
437,KGC,정규경기,안양 정관장 아레나,20231104,2148.0
438,KGC,정규경기,안양 정관장 아레나,20231107,1746.0
439,KGC,정규경기,안양 정관장 아레나,20231112,3072.0
440,KGC,정규경기,안양 정관장 아레나,20231117,1568.0
441,KGC,정규경기,안양 정관장 아레나,20231119,4009.0
442,KGC,정규경기,안양 정관장 아레나,20231124,1744.0
443,KGC,정규경기,안양 정관장 아레나,20231126,3203.0
444,KGC,정규경기,안양 정관장 아레나,20231201,1210.0
445,KGC,정규경기,안양 정관장 아레나,20231216,2186.0
446,KGC,정규경기,안양 정관장 아레나,20231218,1368.0
