"MATCH_SEQ_NO","MATCH_DE","LEA_NM","STDM_NM","HOME_TEAM_NM","AWAY_TEAM_NM"
123,"20250209",정규시즌,잠실실내체육관,삼성,소노
124,"20250209",정규시즌,수원 KT 아레나,KT,SK
125,"20250210",정규시즌,안양 정관장 아레나,KGC,KCC
126,"20250211",정규시즌,고양 소노 아레나,소노,현대모비스
127,"20250212",정규시즌,잠실학생체육관,SK,LG
128,"20250213",정규시즌,원주종합체육관,DB,KCC
129,"20250214",D리그 1차,이천 LG 챔피언스파크,LG,한국가스공사
130,"20250214",D리그 1차,이천 LG 챔피언스파크,현대모비스,상무
131,"20250215",D리그 1차,이천 LG 챔피언스파크,SK,KCC
132,"20250215",D리그 1차,이천 LG 챔피언스파크,현대모비스,LG
133,"20250217",D리그 1차,이천 LG 챔피언스파크,삼성,현대모비스
134,"20250217",D리그 1차,이천 LG 챔피언스파크,KT,LG
135,"20250218",D리그 1차,이천 LG 챔피언스파크,상무,KCC
136,"20250218",D리그 1차,이천 LG 챔피언스파크,현대모비스,SK
137,"20250219",D리그 1차,이천 LG 챔피언스파크,상무,삼성
138,"20250219",D리그 1차,이천 LG 챔피언스파크,KCC,한국가스공사
139,"20250220",D리그 1차,이천 LG 챔피언스파크,SK,상무
140,"20250220",D리그 1차,이천 LG 챔피언스파크,한국가스공사,삼성
141,"20250221",D리그 1차,이천 LG 챔피언스파크,현대모비스,KCC
142,"20250221",D리그 1차,이천 LG 챔피언스파크,한국가스공사,KT
143,"20250222",D리그 1차,이천 LG 챔피언스파크,LG,KCC
144,"20250222",D리그 1차,이천 LG 챔피언스파크,KT,삼성
145,"20250224",D리그 1차,이천 LG 챔피언스파크,KT,한국가스공사
146,"20250224",D리그 1차,이천 LG 챔피언스파크,KCC,LG
147,"20250225",D리그 1차,이천 LG 챔피언스파크,SK,한국가스공사
148,"20250225",D리그 1차,이천 LG 챔피언스파크,삼성,LG
149,"20250226",정규시즌,부산사직체육관,KCC,소노
150,"20250226",정규시즌,안양 정관장 아레나,KGC,KT
