"MATCH_SEQ_NO","MATCH_DE","BASE_YEAR","BASE_MT","BASE_DAY","GRP_NM","LEA_NM","HOME_TEAM_NM","AWAY_TEAM_NM","STDM_NM","SPORTS_VIEWNG_NMPR_CO","COLCT_DE","UPDT_DE"
193,"20230521","2023","05","21",KBO,정규리그,KT,두산,수원,10521.00000,"20250716","20250716"
194,"20230521","2023","05","21",KBO,정규리그,롯데,SSG,사직,22990.00000,"20250716","20250716"
195,"20230521","2023","05","21",KBO,정규리그,NC,삼성,창원,10910.00000,"20250716","20250716"
196,"20230521","2023","05","21",KBO,정규리그,KIA,키움,광주,14617.00000,"20250716","20250716"
197,"20230523","2023","05","23",KBO,정규리그,한화,KIA,한밭,6376.00000,"20250716","20250716"
198,"20230523","2023","05","23",KBO,정규리그,SSG,LG,문학,12508.00000,"20250716","20250716"
199,"20230523","2023","05","23",KBO,정규리그,롯데,NC,사직,15047.00000,"20250716","20250716"
200,"20230523","2023","05","23",KBO,정규리그,두산,삼성,잠실,10733.00000,"20250716","20250716"
201,"20230523","2023","05","23",KBO,정규리그,KT,키움,수원,4203.00000,"20250716","20250716"
202,"20230524","2023","05","24",KBO,정규리그,한화,KIA,한밭,7004.00000,"20250716","20250716"
203,"20230524","2023","05","24",KBO,정규리그,SSG,LG,문학,16829.00000,"20250716","20250716"
204,"20230524","2023","05","24",KBO,정규리그,롯데,NC,사직,14244.00000,"20250716","20250716"
205,"20230524","2023","05","24",KBO,정규리그,두산,삼성,잠실,11108.00000,"20250716","20250716"
206,"20230524","2023","05","24",KBO,정규리그,KT,키움,수원,5173.00000,"20250716","20250716"
207,"20230525","2023","05","25",KBO,정규리그,한화,KIA,한밭,8186.00000,"20250716","20250716"
208,"20230525","2023","05","25",KBO,정규리그,SSG,LG,문학,17575.00000,"20250716","20250716"
209,"20230525","2023","05","25",KBO,정규리그,롯데,NC,사직,15221.00000,"20250716","20250716"
210,"20230525","2023","05","25",KBO,정규리그,두산,삼성,잠실,11005.00000,"20250716","20250716"
211,"20230525","2023","05","25",KBO,정규리그,KT,키움,수원,5235.00000,"20250716","20250716"
212,"20230526","2023","05","26",KBO,정규리그,NC,한화,창원,5952.00000,"20250716","20250716"
213,"20230526","2023","05","26",KBO,정규리그,삼성,KT,대구,12874.00000,"20250716","20250716"
214,"20230526","2023","05","26",KBO,정규리그,KIA,LG,광주,10954.00000,"20250716","20250716"
215,"20230526","2023","05","26",KBO,정규리그,키움,롯데,고척,11692.00000,"20250716","20250716"
