순위,시즌,대회,대회명,경기번호,일자,홈팀,상대,경기결과,경기장,관중수,원정팀,비고
115,2025,K리그1,하나은행 K리그1 2025,50,2025/04/19,김천,대전,0 : 2,김천 종합,"2,789","1,368",주말
116,2025,K리그1,하나은행 K리그1 2025,104,2025/06/13,광주,서울,1 : 3,광주 월드컵,"2,746",510,
117,2025,K리그1,하나은행 K리그1 2025,105,2025/06/14,김천,포항,1 : 0,김천 종합,"2,681","1,277",주말
118,2025,K리그1,하나은행 K리그1 2025,43,2025/04/12,수원FC,김천,3 : 2,수원 종합,"2,066",107,주말
119,2025,K리그1,하나은행 K리그1 2025,94,2025/05/28,김천,서울,0 : 1,김천 종합,"2,040",401,
120,2025,K리그1,하나은행 K리그1 2025,35,2025/03/30,김천,강원,1 : 0,김천 종합,"2,026",271,주말
121,2025,K리그1,하나은행 K리그1 2025,56,2025/04/09,광주,대구,2 : 1,광주 월드컵,"1,983",203,
122,2025,K리그1,하나은행 K리그1 2025,91,2025/05/27,수원FC,제주,0 : 1,수원 종합,"1,884",99,
123,2025,K리그1,하나은행 K리그1 2025,118,2025/06/22,김천,안양,1 : 0,김천 종합,"1,774",423,주말
124,2025,K리그1,하나은행 K리그1 2025,81,2025/05/17,김천,제주,1 : 1,김천 종합,"1,771",110,주말
125,2025,K리그1,하나은행 K리그1 2025,100,2025/06/01,김천,수원FC,1 : 1,김천 종합,"1,533",113,주말
