MATCH_SEQ_NO,MATCH_DE,HOME_TEAM_NM,AWAY_TEAM_NM,STDM_NM,SPORTS_VIEWNG_NMPR_CO
229,20230531,KIA,KT,광주,7244.0
230,20230531,LG,롯데,잠실,21269.0
231,20230531,NC,두산,창원,4180.0
232,20230531,SSG,삼성,문학,10745.0
233,20230531,한화,키움,한밭,4384.0
234,20230601,LG,롯데,잠실,22020.0
235,20230601,SSG,삼성,문학,9028.0
236,20230601,한화,키움,한밭,5040.0
237,20230602,롯데,KIA,사직,18996.0
238,20230602,LG,NC,잠실,10238.0
239,20230602,KT,두산,수원,5157.0
240,20230602,한화,삼성,한밭,6675.0
241,20230602,SSG,키움,문학,12533.0
242,20230603,롯데,KIA,사직,22990.0
243,20230603,LG,NC,잠실,18890.0
244,20230603,KT,두산,수원,12155.0
245,20230603,한화,삼성,한밭,12000.0
246,20230603,SSG,키움,문학,19071.0
247,20230604,롯데,KIA,사직,22990.0
248,20230604,LG,NC,잠실,15096.0
249,20230604,KT,두산,수원,10239.0
250,20230604,한화,삼성,한밭,12000.0
251,20230604,SSG,키움,문학,17007.0
252,20230606,두산,한화,잠실,21146.0
253,20230606,롯데,KT,사직,20441.0
254,20230606,키움,LG,고척,14903.0
255,20230606,삼성,NC,대구,14639.0
256,20230606,KIA,SSG,광주,15130.0
257,20230607,두산,한화,잠실,8497.0
258,20230607,롯데,KT,사직,10066.0
259,20230607,키움,LG,고척,5390.0
260,20230607,삼성,NC,대구,7119.0
261,20230607,KIA,SSG,광주,7569.0
262,20230608,두산,한화,잠실,8509.0
263,20230608,롯데,KT,사직,10504.0
264,20230608,키움,LG,고척,6076.0
265,20230608,삼성,NC,대구,5989.0
266,20230608,KIA,SSG,광주,6646.0
267,20230609,두산,KIA,잠실,16250.0
268,20230609,한화,LG,한밭,6005.0
269,20230609,삼성,롯데,대구,15893.0
270,20230609,NC,SSG,창원,5110.0
271,20230609,KT,키움,수원,5033.0
272,20230610,두산,KIA,잠실,22233.0
273,20230610,한화,LG,한밭,11072.0
274,20230610,삼성,롯데,대구,24000.0
275,20230610,NC,SSG,창원,11026.0
276,20230610,KT,키움,수원,9622.0
277,20230611,두산,KIA,잠실,18623.0
278,20230611,한화,LG,한밭,7601.0
279,20230611,삼성,롯데,대구,18496.0
280,20230611,NC,SSG,창원,7210.0
281,20230611,KT,키움,수원,6806.0
282,20230613,롯데,한화,사직,16007.0
283,20230613,키움,KIA,고척,7834.0
