순위,시즌,대회,대회명,경기번호,일자,홈팀,상대,경기결과,경기장,관중수,원정팀,비고
19,2024,K리그1,하나은행 K리그1 2024,100,2024/06/16,울산,서울,2 : 2,울산 문수,"23,856","1,198",주말
20,2024,K리그1,하나은행 K리그1 2024,172,2024/09/01,전북,서울,0 : 0,전주 월드컵,"22,749","1,918",주말
21,2024,K리그1,하나은행 K리그1 2024,169,2024/08/31,울산,포항,5 : 4,울산 문수,"22,106","2,551",주말
22,2024,K리그1,하나은행 K리그1 2024,175,2024/09/13,울산,강원,2 : 0,울산 문수,"22,010",596,
23,2024,K리그1,하나은행 K리그1 2024,190,2024/09/28,전북,제주,2 : 1,전주 월드컵,"21,386",356,주말
24,2024,K리그1,하나은행 K리그1 2024,96,2024/06/02,서울,광주,1 : 2,서울 월드컵,"21,100",903,주말
25,2024,K리그1,하나은행 K리그1 2024,133,2024/07/13,울산,서울,1 : 0,울산 문수,"21,064","1,826",주말
26,2024,K리그1,하나은행 K리그1 2024,54,2024/04/28,울산,제주,3 : 1,울산 문수,"20,253","1,769",주말
27,2024,K리그1,하나은행 K리그1 2024,222,2024/11/10,전북,대구,3 : 1,전주 월드컵,"18,985","2,516",주말
28,2024,K리그1,하나은행 K리그1 2024,143,2024/07/21,서울,김천,1 : 0,서울 월드컵,"18,577",370,주말
29,2024,K리그1,하나은행 K리그1 2024,139,2024/07/20,전북,울산,2 : 0,전주 월드컵,"18,573","3,035",주말
30,2024,K리그1,하나은행 K리그1 2024,186,2024/09/22,대전,전북,0 : 0,대전 월드컵,"18,473","5,048",주말
31,2024,K리그1,하나은행 K리그1 2024,201,2024/10/19,전북,대전,0 : 2,전주 월드컵,"18,261","2,189",주말
32,2024,K리그1,하나은행 K리그1 2024,212,2024/11/02,전북,인천,0 : 0,전주 월드컵,"18,244","2,516",주말
33,2024,K리그1,하나은행 K리그1 2024,158,2024/08/16,서울,제주,1 : 0,서울 월드컵,"18,029",477,
34,2024,K리그1,하나은행 K리그1 2024,153,2024/08/10,울산,대구,1 : 0,울산 문수,"17,372","1,996",주말
35,2024,K리그1,하나은행 K리그1 2024,13,2024/03/16,대전,강원,1 : 1,대전 월드컵,"17,191",621,주말
36,2024,K리그1,하나은행 K리그1 2024,71,2024/05/12,울산,김천,2 : 2,울산 문수,"16,394",216,주말
37,2024,K리그1,하나은행 K리그1 2024,164,2024/08/24,인천,전북,0 : 1,인천 전용,"15,422","2,122",주말
38,2024,K리그1,하나은행 K리그1 2024,18,2024/03/17,울산,인천,3 : 3,울산 문수,"15,233",422,주말
39,2024,K리그1,하나은행 K리그1 2024,149,2024/07/27,인천,서울,0 : 1,인천 전용,"15,213","2,122",주말
40,2024,K리그1,하나은행 K리그1 2024,151,2024/08/09,전북,광주,0 : 1,전주 월드컵,"15,178",868,
41,2024,K리그1,하나은행 K리그1 2024,4,2024/03/02,인천,수원FC,0 : 1,인천 전용,"15,060","1,349",주말
42,2024,K리그1,하나은행 K리그1 2024,132,2024/07/10,서울,대전,2 : 1,서울 월드컵,"15,037",872,
43,2024,K리그1,하나은행 K리그1 2024,159,2024/08/17,전북,포항,2 : 1,전주 월드컵,"14,814","1,256",주말
44,2024,K리그1,하나은행 K리그1 2024,80,2024/05/25,울산,대전,4 : 1,울산 문수,"14,676",630,주말
45,2024,K리그1,하나은행 K리그1 2024,220,2024/11/10,인천,대전,1 : 2,인천 전용,"14,633","2,119",주말
46,2024,K리그1,하나은행 K리그1 2024,67,2024/05/11,인천,서울,1 : 2,인천 전용,"14,435","2,116",주말
47,2024,K리그1,하나은행 K리그1 2024,196,2024/10/06,인천,강원,1 : 3,인천 전용,"14,434","2,119",주말
48,2024,K리그1,하나은행 K리그1 2024,31,2024/04/06,울산,수원FC,3 : 0,울산 문수,"14,215",220,주말
49,2024,K리그1,하나은행 K리그1 2024,185,2024/09/22,인천,울산,0 : 0,인천 전용,"13,888","2,100",주말
50,2024,K리그1,하나은행 K리그1 2024,39,2024/04/13,울산,강원,4 : 0,울산 문수,"13,874",382,주말
51,2024,K리그1,하나은행 K리그1 2024,53,2024/04/28,전북,대구,2 : 2,전주 월드컵,"13,642","1,071",주말
52,2024,K리그1,하나은행 K리그1 2024,81,2024/05/25,포항,서울,2 : 2,포항 스틸야드,"13,467","1,130",주말
53,2024,K리그1,하나은행 K리그1 2024,211,2024/11/01,울산,강원,2 : 1,울산 종합,"13,438",724,
54,2024,K리그1,하나은행 K리그1 2024,208,2024/10/27,대전,대구,1 : 0,대전 월드컵,"13,405","3,405",주말
55,2024,K리그1,하나은행 K리그1 2024,113,2024/06/26,서울,강원,2 : 0,서울 월드컵,"13,303",782,
56,2024,K리그1,하나은행 K리그1 2024,150,2024/07/28,포항,김천,1 : 2,포항 스틸야드,"13,234",833,주말
57,2024,K리그1,하나은행 K리그1 2024,207,2024/10/27,포항,울산,0 : 2,포항 스틸야드,"13,212","1,127",주말
58,2024,K리그1,하나은행 K리그1 2024,161,2024/08/18,울산,수원FC,1 : 2,울산 문수,"13,204",165,주말
59,2024,K리그1,하나은행 K리그1 2024,162,2024/08/18,강원,광주,3 : 2,강릉하이원아레나,"13,170",379,주말
60,2024,K리그1,하나은행 K리그1 2024,118,2024/06/30,포항,울산,2 : 1,포항 스틸야드,"13,079","1,130",주말
61,2024,K리그1,하나은행 K리그1 2024,28,2024/04/03,서울,김천,5 : 1,서울 월드컵,"13,040",188,
62,2024,K리그1,하나은행 K리그1 2024,70,2024/05/12,전북,수원FC,2 : 3,전주 월드컵,"13,009",317,주말
63,2024,K리그1,하나은행 K리그1 2024,62,2024/05/04,포항,전북,1 : 0,포항 스틸야드,"13,002","1,416",주말
64,2024,K리그1,하나은행 K리그1 2024,228,2024/11/24,대전,제주,2 : 1,대전 월드컵,"12,743",485,주말
65,2024,K리그1,하나은행 K리그1 2024,204,2024/10/20,강원,서울,1 : 0,강릉하이원아레나,"12,742","1,000",주말
66,2024,K리그1,하나은행 K리그1 2024,49,2024/04/27,대전,서울,3 : 1,대전 월드컵,"12,700","1,866",주말
67,2024,K리그1,하나은행 K리그1 2024,189,2024/09/28,강원,대구,1 : 1,강릉하이원아레나,"12,677",939,주말
68,2024,K리그1,하나은행 K리그1 2024,116,2024/06/29,전북,서울,1 : 5,전주 월드컵,"12,508","1,824",주말
69,2024,K리그1,하나은행 K리그1 2024,123,2024/07/06,제주,서울,3 : 2,제주 월드컵,"12,409","1,779",주말
70,2024,K리그1,하나은행 K리그1 2024,174,2024/09/01,강원,수원FC,2 : 2,강릉하이원아레나,"12,292",290,주말
71,2024,K리그1,하나은행 K리그1 2024,146,2024/07/26,강원,전북,4 : 2,강릉하이원아레나,"12,272","1,000",
72,2024,K리그1,하나은행 K리그1 2024,6,2024/03/03,대구,김천,0 : 1,대구iM뱅크PARK,"12,133",622,주말
73,2024,K리그1,하나은행 K리그1 2024,35,2024/04/07,대구,서울,0 : 0,대구iM뱅크PARK,"12,088",622,주말
74,2024,K리그1,하나은행 K리그1 2024,195,2024/10/06,대구,전북,4 : 3,대구iM뱅크PARK,"12,072",622,주말
75,2024,K리그1,하나은행 K리그1 2024,14,2024/03/16,대구,수원FC,1 : 1,대구iM뱅크PARK,"11,997",618,주말
76,2024,K리그1,하나은행 K리그1 2024,170,2024/08/31,대구,인천,1 : 2,대구iM뱅크PARK,"11,994",622,주말
77,2024,K리그1,하나은행 K리그1 2024,83,2024/05/26,대구,강원,1 : 2,대구iM뱅크PARK,"11,977",621,주말
78,2024,K리그1,하나은행 K리그1 2024,68,2024/05/11,대구,광주,3 : 2,대구iM뱅크PARK,"11,967",622,주말
79,2024,K리그1,하나은행 K리그1 2024,216,2024/11/03,대구,제주,2 : 2,대구iM뱅크PARK,"11,940",622,주말
80,2024,K리그1,하나은행 K리그1 2024,124,2024/07/06,대구,포항,3 : 3,대구iM뱅크PARK,"11,881",622,주말
81,2024,K리그1,하나은행 K리그1 2024,182,2024/09/21,대구,서울,1 : 1,대구iM뱅크PARK,"11,837",622,주말
82,2024,K리그1,하나은행 K리그1 2024,227,2024/11/24,대구,인천,1 : 3,대구iM뱅크PARK,"11,812",615,주말
83,2024,K리그1,하나은행 K리그1 2024,79,2024/05/25,전북,김천,0 : 0,전주 월드컵,"11,726",197,주말
84,2024,K리그1,하나은행 K리그1 2024,20,2024/03/30,인천,대전,2 : 0,인천 전용,"11,581","1,402",주말
85,2024,K리그1,하나은행 K리그1 2024,105,2024/06/22,강원,김천,2 : 3,강릉하이원아레나,"11,578",104,주말
86,2024,K리그1,하나은행 K리그1 2024,101,2024/06/16,전북,인천,2 : 2,전주 월드컵,"11,477",672,주말
87,2024,K리그1,하나은행 K리그1 2024,57,2024/05/01,대구,울산,1 : 2,대구iM뱅크PARK,"11,466",622,
88,2024,K리그1,하나은행 K리그1 2024,225,2024/11/23,강원,포항,1 : 0,강릉하이원아레나,"11,426",553,주말
89,2024,K리그1,하나은행 K리그1 2024,148,2024/07/27,대구,대전,1 : 1,대구iM뱅크PARK,"11,373",622,주말
90,2024,K리그1,하나은행 K리그1 2024,48,2024/04/21,대구,대전,0 : 0,대구iM뱅크PARK,"11,330",620,주말
91,2024,K리그1,하나은행 K리그1 2024,37,2024/04/13,전북,광주,2 : 1,전주 월드컵,"11,229",865,주말
92,2024,K리그1,하나은행 K리그1 2024,188,2024/09/27,대전,울산,0 : 1,대전 월드컵,"11,219","1,885",
93,2024,K리그1,하나은행 K리그1 2024,34,2024/04/07,전북,강원,2 : 3,전주 월드컵,"11,215",296,주말
94,2024,K리그1,하나은행 K리그1 2024,8,2024/03/09,포항,대구,3 : 1,포항 스틸야드,"10,930","1,752",주말
95,2024,K리그1,하나은행 K리그1 2024,36,2024/04/07,대전,포항,1 : 2,대전 월드컵,"10,761",971,주말
96,2024,K리그1,하나은행 K리그1 2024,142,2024/07/21,대구,광주,0 : 1,대구iM뱅크PARK,"10,721",318,주말
97,2024,K리그1,하나은행 K리그1 2024,156,2024/08/11,포항,서울,1 : 2,포항 스틸야드,"10,719","1,089",주말
98,2024,K리그1,하나은행 K리그1 2024,140,2024/07/20,강원,제주,4 : 0,강릉하이원아레나,"10,710",129,주말
99,2024,K리그1,하나은행 K리그1 2024,163,2024/08/24,포항,대구,1 : 2,포항 스틸야드,"10,691","1,130",주말
100,2024,K리그1,하나은행 K리그1 2024,103,2024/06/22,대구,전북,3 : 0,대구iM뱅크PARK,"10,540",622,주말
101,2024,K리그1,하나은행 K리그1 2024,73,2024/05/18,대전,인천,0 : 1,대전 월드컵,"10,535","1,046",주말
102,2024,K리그1,하나은행 K리그1 2024,125,2024/07/07,대전,전북,2 : 2,대전 월드컵,"10,378","2,964",주말
103,2024,K리그1,하나은행 K리그1 2024,126,2024/07/07,강원,광주,2 : 0,강릉하이원아레나,"10,334",120,주말
104,2024,K리그1,하나은행 K리그1 2024,141,2024/07/21,인천,수원FC,1 : 4,인천 전용,"10,303",687,주말
105,2024,K리그1,하나은행 K리그1 2024,111,2024/06/26,울산,대구,1 : 0,울산 문수,"10,273",731,
106,2024,K리그1,하나은행 K리그1 2024,23,2024/03/31,강원,서울,1 : 1,춘천 송암,"10,144","1,407",주말
107,2024,K리그1,하나은행 K리그1 2024,58,2024/05/01,인천,전북,3 : 0,인천 전용,"10,094","2,116",
108,2024,K리그1,하나은행 K리그1 2024,65,2024/05/06,제주,대구,1 : 0,제주 월드컵,"10,033",479,
109,2024,K리그1,하나은행 K리그1 2024,102,2024/06/16,대구,제주,1 : 0,대구iM뱅크PARK,"9,885",194,주말
110,2024,K리그1,하나은행 K리그1 2024,157,2024/08/16,대구,김천,3 : 0,대구iM뱅크PARK,"9,817",374,
111,2024,K리그1,하나은행 K리그1 2024,99,2024/06/15,강원,수원FC,3 : 1,춘천 송암,"9,704",767,주말
112,2024,K리그1,하나은행 K리그1 2024,94,2024/06/02,대전,대구,1 : 0,대전 월드컵,"9,649","2,023",주말
113,2024,K리그1,하나은행 K리그1 2024,72,2024/05/12,포항,제주,1 : 1,포항 스틸야드,"9,577",76,주말
114,2024,K리그1,하나은행 K리그1 2024,7,2024/03/09,수원FC,전북,1 : 1,수원 종합,"9,557","2,100",주말
115,2024,K리그1,하나은행 K리그1 2024,198,2024/10/06,포항,수원FC,1 : 1,포항 스틸야드,"9,513",246,주말
116,2024,K리그1,하나은행 K리그1 2024,129,2024/07/10,울산,광주,0 : 1,울산 문수,"9,444",122,
117,2024,K리그1,하나은행 K리그1 2024,183,2024/09/22,포항,강원,2 : 1,포항 스틸야드,"9,427",845,주말
118,2024,K리그1,하나은행 K리그1 2024,42,2024/04/14,인천,대구,1 : 1,인천 전용,"9,400",874,주말
119,2024,K리그1,하나은행 K리그1 2024,205,2024/10/26,강원,김천,1 : 0,강릉하이원아레나,"9,383",107,주말
120,2024,K리그1,하나은행 K리그1 2024,32,2024/04/06,인천,제주,0 : 1,인천 전용,"9,293",339,주말
121,2024,K리그1,하나은행 K리그1 2024,16,2024/03/17,포항,광주,1 : 0,포항 스틸야드,"9,203",368,주말
122,2024,K리그1,하나은행 K리그1 2024,179,2024/09/14,수원FC,전북,0 : 6,수원 종합,"9,136","2,076",주말
123,2024,K리그1,하나은행 K리그1 2024,82,2024/05/25,인천,광주,1 : 1,인천 전용,"9,107",816,주말
124,2024,K리그1,하나은행 K리그1 2024,10,2024/03/10,제주,대전,3 : 1,제주 월드컵,"9,083",358,주말
125,2024,K리그1,하나은행 K리그1 2024,219,2024/11/10,포항,김천,0 : 3,포항 스틸야드,"8,632",283,주말
126,2024,K리그1,하나은행 K리그1 2024,160,2024/08/17,대전,인천,2 : 1,대전 월드컵,"8,618","1,590",주말
127,2024,K리그1,하나은행 K리그1 2024,97,2024/06/15,포항,대전,1 : 1,포항 스틸야드,"8,422",694,주말
128,2024,K리그1,하나은행 K리그1 2024,87,2024/05/29,인천,울산,1 : 1,인천 전용,"8,413","1,975",
129,2024,K리그1,하나은행 K리그1 2024,209,2024/10/27,인천,광주,1 : 0,인천 전용,"8,257",631,주말
130,2024,K리그1,하나은행 K리그1 2024,107,2024/06/23,인천,포항,1 : 3,인천 전용,"8,198",859,주말
131,2024,K리그1,하나은행 K리그1 2024,74,2024/05/19,광주,전북,0 : 3,광주 전용,"8,091","1,562",주말
132,2024,K리그1,하나은행 K리그1 2024,43,2024/05/15,광주,울산,2 : 1,광주 전용,"8,069","1,561",
133,2024,K리그1,하나은행 K리그1 2024,206,2024/10/26,수원FC,서울,0 : 1,수원 종합,"7,971","2,076",주말
134,2024,K리그1,하나은행 K리그1 2024,226,2024/11/24,광주,전북,1 : 1,광주 전용,"7,957","1,420",주말
135,2024,K리그1,하나은행 K리그1 2024,26,2024/04/02,대전,울산,2 : 0,대전 월드컵,"7,927",788,
136,2024,K리그1,하나은행 K리그1 2024,77,2024/05/19,강원,울산,1 : 0,춘천 송암,"7,850",832,주말
137,2024,K리그1,하나은행 K리그1 2024,3,2024/03/02,광주,서울,2 : 0,광주 전용,"7,805","1,420",주말
138,2024,K리그1,하나은행 K리그1 2024,178,2024/09/14,제주,대구,0 : 4,제주 월드컵,"7,746",481,주말
139,2024,K리그1,하나은행 K리그1 2024,45,2024/04/20,포항,김천,0 : 0,포항 스틸야드,"7,673",144,주말
140,2024,K리그1,하나은행 K리그1 2024,221,2024/11/10,제주,광주,0 : 0,제주 월드컵,"7,651",116,주말
141,2024,K리그1,하나은행 K리그1 2024,56,2024/04/30,수원FC,서울,0 : 2,수원 종합,"7,570","1,371",
142,2024,K리그1,하나은행 K리그1 2024,52,2024/04/28,포항,인천,0 : 0,포항 스틸야드,"7,564",380,주말
143,2024,K리그1,하나은행 K리그1 2024,92,2024/06/01,수원FC,인천,3 : 1,수원 종합,"7,511","1,636",주말
144,2024,K리그1,하나은행 K리그1 2024,173,2024/09/01,대전,광주,2 : 0,대전 월드컵,"7,445",615,주말
145,2024,K리그1,하나은행 K리그1 2024,122,2024/07/05,수원FC,울산,1 : 1,수원 종합,"7,378","1,626",
146,2024,K리그1,하나은행 K리그1 2024,104,2024/06/22,대전,광주,2 : 1,대전 월드컵,"7,350",777,주말
147,2024,K리그1,하나은행 K리그1 2024,145,2024/07/26,제주,울산,1 : 0,제주 월드컵,"7,346","1,011",
148,2024,K리그1,하나은행 K리그1 2024,24,2024/03/31,광주,대구,1 : 2,광주 전용,"7,313",965,주말
149,2024,K리그1,하나은행 K리그1 2024,127,2024/07/09,대구,인천,0 : 0,대구iM뱅크PARK,"7,152",218,
150,2024,K리그1,하나은행 K리그1 2024,134,2024/07/13,대전,강원,1 : 1,대전 월드컵,"7,147",791,주말
151,2024,K리그1,하나은행 K리그1 2024,203,2024/10/19,인천,제주,1 : 2,인천 전용,"7,138",325,주말
152,2024,K리그1,하나은행 K리그1 2024,121,2024/07/05,인천,김천,1 : 1,인천 전용,"7,012",170,
153,2024,K리그1,하나은행 K리그1 2024,217,2024/11/09,수원FC,강원,4 : 0,수원 종합,"6,778","1,986",주말
154,2024,K리그1,하나은행 K리그1 2024,197,2024/10/06,제주,대전,2 : 1,제주 월드컵,"6,766",585,주말
155,2024,K리그1,하나은행 K리그1 2024,144,2024/07/21,대전,포항,1 : 2,대전 월드컵,"6,635","1,003",주말
156,2024,K리그1,하나은행 K리그1 2024,108,2024/06/23,제주,울산,2 : 3,제주 월드컵,"6,557",857,주말
157,2024,K리그1,하나은행 K리그1 2024,112,2024/06/26,전북,포항,1 : 1,전주 월드컵,"6,546",246,
158,2024,K리그1,하나은행 K리그1 2024,95,2024/06/02,제주,강원,1 : 2,제주 월드컵,"6,534",273,주말
159,2024,K리그1,하나은행 K리그1 2024,210,2024/10/27,제주,전북,1 : 0,제주 월드컵,"6,376",941,주말
160,2024,K리그1,하나은행 K리그1 2024,194,2024/10/06,광주,서울,3 : 1,광주 전용,"6,357","1,234",주말
161,2024,K리그1,하나은행 K리그1 2024,187,2024/09/27,포항,인천,1 : 0,포항 스틸야드,"6,332",331,
162,2024,K리그1,하나은행 K리그1 2024,154,2024/08/10,제주,인천,0 : 1,제주 월드컵,"6,271",453,주말
163,2024,K리그1,하나은행 K리그1 2024,120,2024/06/30,인천,강원,0 : 1,인천 전용,"6,164",663,주말
164,2024,K리그1,하나은행 K리그1 2024,22,2024/03/30,수원FC,김천,1 : 4,수원 종합,"6,145",147,주말
165,2024,K리그1,하나은행 K리그1 2024,90,2024/05/29,강원,전북,2 : 1,춘천 송암,"6,125",429,
166,2024,K리그1,하나은행 K리그1 2024,21,2024/03/30,제주,포항,0 : 2,제주 월드컵,"6,036",254,주말
167,2024,K리그1,하나은행 K리그1 2024,47,2024/04/21,강원,인천,4 : 1,춘천 송암,"6,025",718,주말
168,2024,K리그1,하나은행 K리그1 2024,5,2024/03/02,강원,제주,1 : 1,춘천 송암,"6,021",215,주말
169,2024,K리그1,하나은행 K리그1 2024,224,2024/11/23,김천,서울,1 : 3,김천 종합,"5,943","1,937",주말
170,2024,K리그1,하나은행 K리그1 2024,9,2024/03/09,김천,울산,2 : 3,김천 종합,"5,852","1,252",주말
171,2024,K리그1,하나은행 K리그1 2024,11,2024/03/10,광주,강원,4 : 2,광주 전용,"5,786",165,주말
172,2024,K리그1,하나은행 K리그1 2024,202,2024/10/19,김천,울산,0 : 0,김천 종합,"5,636","2,348",주말
173,2024,K리그1,하나은행 K리그1 2024,137,2024/07/14,수원FC,대구,2 : 2,수원 종합,"5,594",554,주말
174,2024,K리그1,하나은행 K리그1 2024,131,2024/07/10,전북,제주,2 : 1,전주 월드컵,"5,560",124,
175,2024,K리그1,하나은행 K리그1 2024,171,2024/09/01,제주,김천,1 : 0,제주 월드컵,"5,469",152,주말
176,2024,K리그1,하나은행 K리그1 2024,50,2024/04/27,광주,수원FC,1 : 2,광주 전용,"5,440",229,주말
177,2024,K리그1,하나은행 K리그1 2024,117,2024/06/29,대전,수원FC,0 : 2,대전 월드컵,"5,290",319,주말
178,2024,K리그1,하나은행 K리그1 2024,130,2024/07/10,포항,강원,2 : 0,포항 스틸야드,"5,287",163,
179,2024,K리그1,하나은행 K리그1 2024,155,2024/08/10,수원FC,대전,1 : 2,수원 종합,"5,223",945,주말
180,2024,K리그1,하나은행 K리그1 2024,25,2024/04/02,포항,수원FC,1 : 1,포항 스틸야드,"5,143",50,
181,2024,K리그1,하나은행 K리그1 2024,78,2024/05/19,수원FC,포항,1 : 0,수원 종합,"5,126",849,주말
182,2024,K리그1,하나은행 K리그1 2024,166,2024/08/25,광주,울산,0 : 1,광주 전용,"5,081",721,주말
183,2024,K리그1,하나은행 K리그1 2024,55,2024/04/30,대전,김천,0 : 0,대전 월드컵,"4,974",98,
184,2024,K리그1,하나은행 K리그1 2024,41,2024/04/14,수원FC,대전,1 : 0,수원 종합,"4,961",798,주말
185,2024,K리그1,하나은행 K리그1 2024,88,2024/05/29,대전,제주,0 : 1,대전 월드컵,"4,759",0,
186,2024,K리그1,하나은행 K리그1 2024,215,2024/11/02,광주,대전,0 : 0,광주 전용,"4,666","1,254",주말
187,2024,K리그1,하나은행 K리그1 2024,199,2024/10/18,포항,수원FC,1 : 1,포항 스틸야드,"4,611",67,
188,2024,K리그1,하나은행 K리그1 2024,93,2024/06/01,김천,포항,3 : 1,김천 종합,"4,574","1,121",주말
189,2024,K리그1,하나은행 K리그1 2024,98,2024/06/15,광주,김천,2 : 0,광주 전용,"4,561",144,주말
190,2024,K리그1,하나은행 K리그1 2024,59,2024/05/01,제주,광주,1 : 3,제주 월드컵,"4,502",192,
191,2024,K리그1,하나은행 K리그1 2024,135,2024/07/13,제주,포항,2 : 1,제주 월드컵,"4,412",416,주말
192,2024,K리그1,하나은행 K리그1 2024,17,2024/03/17,김천,전북,1 : 0,김천 종합,"4,300","1,247",주말
193,2024,K리그1,하나은행 K리그1 2024,69,2024/05/11,강원,대전,3 : 3,춘천 송암,"4,263",349,주말
194,2024,K리그1,하나은행 K리그1 2024,147,2024/07/27,광주,수원FC,1 : 0,광주 전용,"4,239",245,주말
195,2024,K리그1,하나은행 K리그1 2024,66,2024/05/06,광주,대전,2 : 1,광주 전용,"4,221",648,
196,2024,K리그1,하나은행 K리그1 2024,40,2024/04/13,제주,김천,0 : 2,제주 월드컵,"4,211",60,주말
197,2024,K리그1,하나은행 K리그1 2024,60,2024/05/01,강원,포항,2 : 4,춘천 송암,"4,157",229,
198,2024,K리그1,하나은행 K리그1 2024,115,2024/06/29,김천,대구,2 : 0,김천 종합,"3,832","1,799",주말
199,2024,K리그1,하나은행 K리그1 2024,109,2024/06/25,수원FC,광주,1 : 0,수원 종합,"3,596",235,
200,2024,K리그1,하나은행 K리그1 2024,138,2024/07/14,김천,전북,4 : 0,김천 종합,"3,524","1,069",주말
201,2024,K리그1,하나은행 K리그1 2024,184,2024/09/22,광주,제주,0 : 2,광주 전용,"3,468",110,주말
202,2024,K리그1,하나은행 K리그1 2024,29,2024/04/03,제주,전북,2 : 0,제주 월드컵,"3,426",553,
203,2024,K리그1,하나은행 K리그1 2024,152,2024/08/09,김천,강원,1 : 2,김천 종합,"3,402",588,
204,2024,K리그1,하나은행 K리그1 2024,86,2024/05/28,김천,서울,0 : 0,김천 종합,"3,372",328,
205,2024,K리그1,하나은행 K리그1 2024,180,2024/09/15,김천,인천,2 : 0,김천 종합,"3,315",662,주말
206,2024,K리그1,하나은행 K리그1 2024,167,2024/08/25,수원FC,제주,5 : 0,수원 종합,"3,275",201,주말
207,2024,K리그1,하나은행 K리그1 2024,168,2024/08/25,김천,대전,2 : 2,김천 종합,"3,261","1,028",주말
208,2024,K리그1,하나은행 K리그1 2024,191,2024/09/28,김천,광주,2 : 0,김천 종합,"3,238",210,주말
209,2024,K리그1,하나은행 K리그1 2024,176,2024/09/13,광주,포항,2 : 1,광주 전용,"3,136",350,
210,2024,K리그1,하나은행 K리그1 2024,181,2024/09/21,수원FC,김천,2 : 4,수원 종합,"3,059",162,주말
211,2024,K리그1,하나은행 K리그1 2024,30,2024/04/03,강원,대구,3 : 0,춘천 송암,"3,056",160,
212,2024,K리그1,하나은행 K리그1 2024,84,2024/05/26,제주,수원FC,1 : 0,제주 월드컵,"3,052",128,주말
213,2024,K리그1,하나은행 K리그1 2024,114,2024/06/26,제주,인천,1 : 0,제주 월드컵,"3,044",377,
214,2024,K리그1,하나은행 K리그1 2024,33,2024/04/06,김천,광주,2 : 1,김천 종합,"3,021",331,주말
215,2024,K리그1,하나은행 K리그1 2024,63,2024/05/05,수원FC,강원,1 : 2,수원 종합,"3,008",572,주말
216,2024,K리그1,하나은행 K리그1 2024,136,2024/07/14,광주,인천,0 : 2,광주 전용,"2,969",251,주말
217,2024,K리그1,하나은행 K리그1 2024,85,2024/05/28,광주,포항,0 : 1,광주 전용,"2,687",160,
218,2024,K리그1,하나은행 K리그1 2024,64,2024/05/05,김천,인천,2 : 2,김천 종합,"2,651",507,주말
219,2024,K리그1,하나은행 K리그1 2024,44,2024/04/20,수원FC,제주,2 : 1,수원 종합,"2,522",152,주말
220,2024,K리그1,하나은행 K리그1 2024,200,2024/10/18,광주,대구,1 : 1,광주 전용,"2,447",658,
221,2024,K리그1,하나은행 K리그1 2024,119,2024/06/30,광주,제주,2 : 1,광주 전용,"2,389",100,주말
222,2024,K리그1,하나은행 K리그1 2024,51,2024/04/27,김천,강원,1 : 0,김천 종합,"2,338",277,주말
223,2024,K리그1,하나은행 K리그1 2024,89,2024/05/29,수원FC,대구,2 : 0,수원 종합,"2,328",362,
