MATCH_DE,BASE_YEAR,BASE_MT,BASE_DAY,GRP_NM,LEA_NM,HOME_TEAM_NM,AWAY_TEAM_NM,STDM_NM,SPORTS_VIEWNG_NMPR_CO,COLCT_DE,UPDT_DE
20241109,2024,11,09,프로스포츠,KBL,서울 SK,,잠실학생,5208.00000,20250715,20250715
20241110,2024,11,10,프로스포츠,KBL,서울 SK,,잠실학생,5202.00000,20250715,20250715
20241129,2024,11,29,프로스포츠,KBL,서울 SK,,잠실학생,5029.00000,20250715,20250715
20241201,2024,12,01,프로스포츠,KBL,서울 SK,,잠실학생,5212.00000,20250715,20250715
20241214,2024,12,14,프로스포츠,KBL,서울 SK,,잠실학생,5214.00000,20250715,20250715
20241215,2024,12,15,프로스포츠,KBL,서울 SK,,잠실학생,5201.00000,20250715,20250715
20241225,2024,12,25,프로스포츠,KBL,서울 SK,,잠실학생,5225.00000,20250715,20250715
20250103,2025,01,03,프로스포츠,KBL,서울 SK,,잠실학생,3701.00000,20250715,20250715
20250105,2025,01,05,프로스포츠,KBL,서울 SK,,잠실학생,5226.00000,20250715,20250715
20250107,2025,01,07,프로스포츠,KBL,서울 SK,,잠실학생,3453.00000,20250715,20250715
20250110,2025,01,10,프로스포츠,KBL,서울 SK,,잠실학생,4575.00000,20250715,20250715
20250114,2025,01,14,프로스포츠,KBL,서울 SK,,잠실학생,3742.00000,20250715,20250715
20250116,2025,01,16,프로스포츠,KBL,서울 SK,,잠실학생,4413.00000,20250715,20250715
20250203,2025,02,03,프로스포츠,KBL,서울 SK,,잠실학생,3803.00000,20250715,20250715
20250206,2025,02,06,프로스포츠,KBL,서울 SK,,잠실학생,3714.00000,20250715,20250715
20250208,2025,02,08,프로스포츠,KBL,서울 SK,,잠실학생,5215.00000,20250715,20250715
20250212,2025,02,12,프로스포츠,KBL,서울 SK,,잠실학생,5207.00000,20250715,20250715
20250302,2025,03,02,프로스포츠,KBL,서울 SK,,잠실학생,5222.00000,20250715,20250715
20250309,2025,03,09,프로스포츠,KBL,서울 SK,,잠실학생,5202.00000,20250715,20250715
20250314,2025,03,14,프로스포츠,KBL,서울 SK,,잠실학생,4264.00000,20250715,20250715
20250321,2025,03,21,프로스포츠,KBL,서울 SK,,잠실학생,4333.00000,20250715,20250715
20250323,2025,03,23,프로스포츠,KBL,서울 SK,,잠실학생,5001.00000,20250715,20250715
20250328,2025,03,28,프로스포츠,KBL,서울 SK,,잠실학생,3307.00000,20250715,20250715
