"MATCH_SEQ_NO","MATCH_DE","HOME_TEAM_NM","AWAY_TEAM_NM","STDM_NM","SPORTS_VIEWNG_NMPR_CO"
239,"20230602",KT,두산,수원,5157.00000
240,"20230602",한화,삼성,한밭,6675.00000
241,"20230602",SSG,키움,문학,12533.00000
242,"20230603",롯데,KIA,사직,22990.00000
243,"20230603",LG,NC,잠실,18890.00000
244,"20230603",KT,두산,수원,12155.00000
245,"20230603",한화,삼성,한밭,12000.00000
246,"20230603",SSG,키움,문학,19071.00000
247,"20230604",롯데,KIA,사직,22990.00000
248,"20230604",LG,NC,잠실,15096.00000
249,"20230604",KT,두산,수원,10239.00000
250,"20230604",한화,삼성,한밭,12000.00000
251,"20230604",SSG,키움,문학,17007.00000
252,"20230606",두산,한화,잠실,21146.00000
253,"20230606",롯데,KT,사직,20441.00000
254,"20230606",키움,LG,고척,14903.00000
255,"20230606",삼성,NC,대구,14639.00000
256,"20230606",KIA,SSG,광주,15130.00000
257,"20230607",두산,한화,잠실,8497.00000
258,"20230607",롯데,KT,사직,10066.00000
259,"20230607",키움,LG,고척,5390.00000
260,"20230607",삼성,NC,대구,7119.00000
261,"20230607",KIA,SSG,광주,7569.00000
262,"20230608",두산,한화,잠실,8509.00000
263,"20230608",롯데,KT,사직,10504.00000
264,"20230608",키움,LG,고척,6076.00000
265,"20230608",삼성,NC,대구,5989.00000
266,"20230608",KIA,SSG,광주,6646.00000
267,"20230609",두산,KIA,잠실,16250.00000
268,"20230609",한화,LG,한밭,6005.00000
269,"20230609",삼성,롯데,대구,15893.00000
270,"20230609",NC,SSG,창원,5110.00000
271,"20230609",KT,키움,수원,5033.00000
272,"20230610",두산,KIA,잠실,22233.00000
273,"20230610",한화,LG,한밭,11072.00000
274,"20230610",삼성,롯데,대구,24000.00000
275,"20230610",NC,SSG,창원,11026.00000
276,"20230610",KT,키움,수원,9622.00000
277,"20230611",두산,KIA,잠실,18623.00000
278,"20230611",한화,LG,한밭,7601.00000
279,"20230611",삼성,롯데,대구,18496.00000
280,"20230611",NC,SSG,창원,7210.00000
281,"20230611",KT,키움,수원,6806.00000
282,"20230613",롯데,한화,사직,16007.00000
283,"20230613",키움,KIA,고척,7834.00000
284,"20230613",SSG,KT,문학,6568.00000
285,"20230613",NC,두산,창원,3699.00000
286,"20230613",LG,삼성,잠실,11103.00000
287,"20230614",롯데,한화,사직,10803.00000
288,"20230614",키움,KIA,고척,8016.00000
289,"20230614",SSG,KT,문학,6579.00000
290,"20230614",NC,두산,창원,3154.00000
291,"20230614",LG,삼성,잠실,11725.00000
292,"20230615",롯데,한화,사직,12594.00000
293,"20230615",키움,KIA,고척,8528.00000
294,"20230615",SSG,KT,문학,6736.00000
295,"20230615",NC,두산,창원,3633.00000
296,"20230615",LG,삼성,잠실,12023.00000
297,"20230616",SSG,롯데,문학,18013.00000
298,"20230616",KIA,NC,광주,10170.00000
299,"20230616",LG,두산,잠실,18826.00000
300,"20230616",KT,삼성,수원,6998.00000
301,"20230616",한화,키움,한밭,7005.00000
302,"20230617",SSG,롯데,문학,23000.00000
303,"20230617",KIA,NC,광주,15992.00000
304,"20230617",LG,두산,잠실,22878.00000
305,"20230617",KT,삼성,수원,14935.00000
306,"20230617",한화,키움,한밭,11008.00000
307,"20230618",SSG,롯데,문학,19156.00000
308,"20230618",KIA,NC,광주,13967.00000
309,"20230618",LG,두산,잠실,19038.00000
310,"20230618",KT,삼성,수원,10137.00000
311,"20230618",한화,키움,한밭,8163.00000
312,"20230620",한화,KIA,한밭,5451.00000
313,"20230620",NC,LG,창원,3433.00000
314,"20230620",KT,롯데,수원,5773.00000
315,"20230620",두산,SSG,잠실,6186.00000
316,"20230620",삼성,키움,대구,7667.00000
