날짜,시간,경기종류,장소,홈팀,홈점수,원정팀,원정점수,중계채널
2025-12-13,19:00,정규시즌,고양 소노 아레나,소노,73,삼성,82,"tvN SPORTS, TVING"
2025-12-13,19:00,정규시즌,안양 정관장 아레나,정관장,68,LG,79,"IB SPORTS, TVING"
2025-12-14,14:00,정규시즌,부산사직체육관,KCC,88,DB,92,"tvN SPORTS, TVING"
2025-12-14,14:00,정규시즌,수원 KT 아레나,KT,83,한국가스공사,87,"IB SPORTS, TVING"
2025-12-14,16:00,정규시즌,잠실학생체육관,SK,89,현대모비스,90,"tvN SPORTS, TVING"
2025-12-15,14:00,정규시즌,부산사직체육관,KCC,52,LG,74,"tvN SPORTS, TVING"
2025-12-15,14:00,정규시즌,안양 정관장 아레나,정관장,79,소노,78,"IB SPORTS, TVING"
2025-12-15,16:00,정규시즌,잠실학생체육관,SK,84,삼성,88,"tvN SPORTS, TVING"
2025-12-16,19:00,정규시즌,원주종합체육관,DB,72,KT,66,"tvN SPORTS, TVING"
2025-12-17,13:00,D리그 1차,이천 LG 챔피언스파크,SK,66,현대모비스,67,"기타"
2025-12-17,15:05,D리그 1차,이천 LG 챔피언스파크,한국가스공사,89,상무,94,"기타"
2025-12-17,19:00,정규시즌,창원체육관,LG,90,삼성,76,"tvN SPORTS, TVING"
2025-12-18,19:00,정규시즌,고양 소노 아레나,소노,75,KT,58,"tvN SPORTS, TVING"
2025-12-19,19:00,정규시즌,울산동천체육관,현대모비스,81,삼성,79,"IB SPORTS, TVING"
2025-12-19,19:00,정규시즌,원주종합체육관,DB,74,정관장,57,"tvN SPORTS, TVING"
2025-12-20,19:00,정규시즌,창원체육관,LG,86,KCC,74,"IB SPORTS, TVING"
2025-12-20,19:00,정규시즌,수원 KT 아레나,KT,88,한국가스공사,86,"tvN SPORTS, TVING"
2025-12-21,14:00,정규시즌,고양 소노 아레나,소노,81,삼성,61,"tvN SPORTS, TVING"
2025-12-21,14:00,정규시즌,안양 정관장 아레나,정관장,73,SK,77,"IB SPORTS, TVING"
2025-12-21,16:00,정규시즌,원주종합체육관,DB,95,현대모비스,72,"tvN SPORTS, TVING"
2025-12-22,14:00,정규시즌,부산사직체육관,KCC,71,한국가스공사,97,"tvN SPORTS, TVING"
2025-12-22,14:00,정규시즌,안양 정관장 아레나,정관장,60,LG,69,"IB SPORTS, TVING"
2025-12-22,16:00,정규시즌,원주종합체육관,DB,77,KT,81,"tvN SPORTS, TVING"
2025-12-23,13:00,D리그 1차,이천 LG 챔피언스파크,SK,89,삼성,84,"기타"
2025-12-23,15:20,D리그 1차,이천 LG 챔피언스파크,상무,71,LG,59,"기타"
2025-12-24,19:00,정규시즌,수원 KT 아레나,KT,91,현대모비스,78,"IB SPORTS, TVING"
2025-12-25,14:00,정규시즌,부산사직체육관,KCC,94,정관장,68,"IB SPORTS, TVING"
2025-12-25,14:00,정규시즌,고양 소노 아레나,소노,87,DB,81,"tvN SPORTS, TVING"
2025-12-25,16:00,정규시즌,잠실학생체육관,SK,63,삼성,60,"tvN SPORTS, TVING"
2025-12-26,13:00,D리그 1차,이천 LG 챔피언스파크,상무,87,KT,83,"기타"
2025-12-26,15:00,D리그 1차,이천 LG 챔피언스파크,현대모비스,79,삼성,68,"기타"
2025-12-26,19:00,정규시즌,대구체육관,한국가스공사,54,LG,85,"tvN SPORTS, TVING"
2025-12-27,19:00,정규시즌,부산사직체육관,KCC,79,현대모비스,95,"IB SPORTS, TVING"
2025-12-27,19:00,정규시즌,원주종합체육관,DB,80,SK,75,"tvN SPORTS, TVING"
2025-12-28,14:00,정규시즌,창원체육관,LG,74,KT,72,"IB SPORTS, TVING"
2025-12-28,14:00,정규시즌,대구체육관,한국가스공사,76,소노,73,"tvN SPORTS, TVING"
2025-12-28,16:00,정규시즌,안양 정관장 아레나,정관장,78,삼성,100,"tvN SPORTS, TVING"
2025-12-29,14:00,정규시즌,창원체육관,LG,94,DB,60,"tvN SPORTS, TVING"
2025-12-29,14:00,정규시즌,울산동천체육관,현대모비스,84,소노,67,"IB SPORTS, TVING"
2025-12-29,16:00,정규시즌,부산사직체육관,KCC,86,SK,96,"tvN SPORTS, TVING"
2025-12-31,13:00,D리그 1차,이천 LG 챔피언스파크,삼성,93,KCC,70,"기타"
2025-12-31,22:00,정규시즌,울산동천체육관,현대모비스,88,한국가스공사,81,"tvN SPORTS, TVING"
