날짜,시간,경기종류,장소,홈팀,홈점수,원정팀,원정점수,중계채널
2025-01-17,15:00,D리그 1차,이천 LG 챔피언스파크,SK,96,KT,97,"기타"
2025-01-19,14:00,올스타게임,부산사직체육관,크블몽 팀,142,공아지 팀,126,"tvN SPORTS, TVING"
2025-01-20,13:00,D리그 1차,이천 LG 챔피언스파크,한국가스공사,75,SK,69,"기타"
2025-01-20,15:00,D리그 1차,이천 LG 챔피언스파크,KT,79,현대모비스,57,"기타"
2025-01-21,13:00,D리그 1차,이천 LG 챔피언스파크,SK,72,LG,80,"기타"
2025-01-21,15:00,D리그 1차,이천 LG 챔피언스파크,상무,88,현대모비스,69,"기타"
2025-01-22,19:00,정규시즌,수원 KT 아레나,KT,74,삼성,65,"TVING"
2025-01-22,19:00,정규시즌,안양 정관장 아레나,정관장,75,DB,82,"IB SPORTS, TVING"
2025-01-23,13:00,D리그 1차,이천 LG 챔피언스파크,한국가스공사,73,KCC,78,"기타"
2025-01-23,19:00,정규시즌,울산동천체육관,현대모비스,71,SK,83,"TVING"
2025-01-23,19:00,정규시즌,창원체육관,LG,67,소노,62,"IB SPORTS, TVING"
2025-01-24,19:00,정규시즌,수원 KT 아레나,KT,72,정관장,93,"IB SPORTS, TVING"
2025-01-24,19:00,정규시즌,원주종합체육관,DB,99,삼성,92,"TVING"
2025-01-25,14:00,정규시즌,부산사직체육관,KCC,89,SK,72,"tvN SPORTS, TVING"
2025-01-25,14:00,정규시즌,창원체육관,LG,71,현대모비스,68,"IB SPORTS, TVING"
2025-01-25,16:00,정규시즌,고양 소노 아레나,소노,56,한국가스공사,76,"IB SPORTS, TVING"
2025-01-26,14:00,정규시즌,울산동천체육관,현대모비스,72,KT,78,"tvN SPORTS, TVING"
2025-01-26,14:00,정규시즌,잠실실내체육관,삼성,74,정관장,85,"IB SPORTS, TVING"
2025-01-26,16:00,정규시즌,부산사직체육관,KCC,96,DB,87,"IB SPORTS, TVING"
2025-01-27,13:00,D리그 1차,이천 LG 챔피언스파크,상무,97,SK,71,"기타"
2025-01-27,15:00,D리그 1차,이천 LG 챔피언스파크,LG,78,삼성,87,"기타"
2025-01-28,14:00,정규시즌,대구체육관,한국가스공사,81,KCC,87,"tvN SPORTS, TVING"
2025-01-28,16:00,정규시즌,고양 소노 아레나,소노,69,정관장,94,"tvN SPORTS, TVING"
2025-01-29,14:00,정규시즌,잠실실내체육관,삼성,75,SK,79,"tvN SPORTS, TVING"
2025-01-29,16:00,정규시즌,원주종합체육관,DB,69,KT,71,"tvN SPORTS, TVING"
2025-01-30,14:00,정규시즌,창원체육관,LG,69,한국가스공사,67,"tvN SPORTS, TVING"
2025-01-30,16:00,정규시즌,울산동천체육관,현대모비스,97,KCC,80,"tvN SPORTS, TVING"
2025-01-31,19:00,정규시즌,수원 KT 아레나,KT,78,소노,73,"tvN SPORTS, TVING"
