"MATCH_SEQ_NO","MATCH_DE","BASE_YEAR","BASE_MT","BASE_DAY","GRP_NM","LEA_NM","HOME_TEAM_NM","AWAY_TEAM_NM","STDM_NM","SPORTS_VIEWNG_NMPR_CO","COLCT_DE","UPDT_DE"
115,"20230701","2023","07","01",KLEAGUE,K리그1,전북,제주,전주 월드컵,12175.00000,"20250715","20250715"
116,"20250403","2025","04","03",KBO,정규리그,두산,키움,잠실,9131.00000,"20250715","20250715"
117,"20230701","2023","07","01",KLEAGUE,K리그1,대구,수원,대구iM뱅크PARK,12175.00000,"20250715","20250715"
118,"20250404","2025","04","04",KBO,정규리그,삼성,한화,대구,24000.00000,"20250715","20250715"
119,"20230826","2023","08","26",KLEAGUE,K리그1,대구,제주,대구iM뱅크PARK,12136.00000,"20250715","20250715"
120,"20250404","2025","04","04",KBO,정규리그,LG,KIA,잠실,23750.00000,"20250715","20250715"
121,"20230902","2023","09","02",KLEAGUE,K리그1,인천,포항,인천 전용,12134.00000,"20250715","20250715"
122,"20250404","2025","04","04",KBO,정규리그,SSG,KT,문학,13323.00000,"20250715","20250715"
123,"20230430","2023","04","30",KLEAGUE,K리그1,울산,광주,울산 문수,12068.00000,"20250715","20250715"
124,"20250404","2025","04","04",KBO,정규리그,키움,NC,고척,5161.00000,"20250715","20250715"
125,"20250404","2025","04","04",KBO,정규리그,롯데,두산,사직,17293.00000,"20250715","20250715"
126,"20230604","2023","06","04",KLEAGUE,K리그1,대구,서울,대구iM뱅크PARK,12056.00000,"20250715","20250715"
127,"20250405","2025","04","05",KBO,정규리그,삼성,한화,대구,24000.00000,"20250715","20250715"
128,"20230505","2023","05","05",KLEAGUE,K리그1,대구,울산,대구iM뱅크PARK,11929.00000,"20250715","20250715"
129,"20250405","2025","04","05",KBO,정규리그,키움,NC,고척,8895.00000,"20250715","20250715"
130,"20250405","2025","04","05",KBO,정규리그,롯데,두산,사직,21807.00000,"20250715","20250715"
131,"20230805","2023","08","05",KLEAGUE,K리그1,대구,울산,대구iM뱅크PARK,11928.00000,"20250715","20250715"
