MATCH_SEQ_NO,LEA_NM,MATCH_DE,HOME_TEAM_NM,AWAY_TEAM_NM,STDM_NM,SPORTS_VIEWNG_NMPR_CO
343,K리그2,20230805,김포,안양,김포솔터축구장,2092.0
344,K리그1,20230722,수원FC,광주,수원 종합,2083.0
345,K리그2,20231126,김포,경남,김포솔터축구장,2060.0
346,K리그2,20230820,전남,김천,광양 전용,2058.0
347,K리그2,20230919,충북청주,서울E,청주 종합,2057.0
348,K리그2,20230814,부천,경남,부천 종합,2053.0
349,K리그2,20230429,경남,천안,창원 축구센터,2024.0
350,K리그2,20230318,경남,충북청주,창원 축구센터,2011.0
351,K리그2,20230903,김포,서울E,김포솔터축구장,1998.0
352,K리그2,20230305,전남,경남,광양 전용,1975.0
353,K리그2,20230708,충북청주,안양,청주 종합,1949.0
354,K리그2,20230503,김포,성남,김포솔터축구장,1915.0
355,K리그2,20230805,전남,부천,광양 전용,1894.0
356,K리그2,20231007,김포,안양,김포솔터축구장,1890.0
357,K리그2,20230716,부산,성남,부산 아시아드,1872.0
358,K리그1,20230607,광주,수원,광주 전용,1871.0
359,K리그1,20230426,수원FC,대구,수원 종합,1870.0
360,K리그2,20230731,서울E,충남아산,목동 종합,1870.0
361,K리그2,20230830,서울E,전남,목동 종합,1859.0
362,K리그2,20230917,충남아산,안양,아산 이순신,1858.0
363,K리그2,20230723,충북청주,서울E,청주 종합,1857.0
364,K리그2,20231007,성남,충남아산,탄천 종합,1780.0
365,K리그2,20230527,전남,천안,광양 전용,1741.0
366,K리그2,20230514,충북청주,안산,청주 종합,1728.0
367,K리그2,20231112,안산,안양,안산 와스타디움,1715.0
368,K리그2,20230319,전남,김포,광양 전용,1712.0
369,K리그2,20230418,부천,서울E,부천 종합,1704.0
370,K리그2,20230423,충북청주,부천,청주 종합,1683.0
371,K리그2,20230422,성남,부산,탄천 종합,1671.0
372,K리그2,20231126,성남,안산,탄천 종합,1629.0
373,K리그2,20230604,전남,김천,광양 전용,1625.0
374,K리그2,20230702,김포,충남아산,김포솔터축구장,1618.0
375,K리그2,20231014,충남아산,충북청주,아산 이순신,1616.0
376,K리그2,20230409,서울E,안산,목동 종합,1614.0
377,K리그1,20230528,수원FC,광주,수원 종합,1605.0
378,K리그2,20230709,성남,김포,탄천 종합,1596.0
379,K리그2,20230724,부산,안양,부산 아시아드,1579.0
380,K리그2,20230503,경남,서울E,창원 축구센터,1576.0
381,K리그2,20230718,부천,충북청주,부천 종합,1552.0
382,K리그2,20230920,안양,경남,안양 종합,1539.0
383,K리그2,20230514,충남아산,김포,아산 이순신,1513.0
384,K리그2,20230718,서울E,김포,목동 종합,1489.0
385,K리그2,20230416,안산,김포,안산 와스타디움,1479.0
386,K리그2,20230408,전남,성남,광양 전용,1474.0
387,K리그2,20230416,성남,천안,탄천 종합,1468.0
388,K리그2,20231001,천안,김천,천안 종합,1466.0
389,K리그2,20230703,전남,서울E,광양 전용,1436.0
390,K리그2,20230419,김포,부산,김포솔터축구장,1429.0
391,K리그2,20230520,안산,성남,안산 와스타디움,1394.0
392,K리그2,20230814,천안,김포,천안 종합,1394.0
393,K리그2,20230701,안산,부산,안산 와스타디움,1388.0
394,K리그2,20230502,부천,충남아산,부천 종합,1380.0
395,K리그2,20230528,부산,충남아산,부산 구덕,1366.0
396,K리그2,20230715,김포,김천,김포솔터축구장,1363.0
397,K리그2,20230826,김천,충남아산,김천 종합,1351.0
398,K리그2,20230311,서울E,전남,목동 종합,1350.0
399,K리그2,20231029,김천,김포,김천 종합,1319.0
400,K리그2,20230919,부산,안산,부산 아시아드,1306.0
401,K리그2,20230719,전남,안산,광양 전용,1292.0
402,K리그2,20230724,김포,안산,김포솔터축구장,1277.0
403,K리그2,20230611,성남,서울E,탄천 종합,1273.0
404,K리그2,20230506,안산,경남,안산 와스타디움,1258.0
405,K리그2,20231021,충남아산,부산,아산 이순신,1255.0
406,K리그2,20231021,천안,성남,천안 종합,1251.0
407,K리그2,20230815,김천,서울E,김천 종합,1241.0
408,K리그2,20230502,전남,부산,광양 전용,1214.0
409,K리그2,20230513,김천,안양,김천 종합,1203.0
410,K리그2,20230902,천안,안산,천안 종합,1197.0
411,K리그2,20231112,천안,김포,천안 종합,1196.0
412,K리그2,20230923,김천,안양,김천 종합,1187.0
413,K리그2,20230423,안산,전남,안산 와스타디움,1170.0
414,K리그2,20231022,안산,김천,안산 와스타디움,1165.0
415,K리그2,20230305,김포,천안,김포솔터축구장,1164.0
416,K리그2,20230312,안산,안양,안산 와스타디움,1124.0
417,K리그2,20230625,충남아산,안산,아산 이순신,1110.0
418,K리그2,20230708,천안,서울E,천안 종합,1109.0
419,K리그2,20230902,김천,충북청주,김천 종합,1100.0
420,K리그2,20231007,김천,부천,김천 종합,1094.0
421,K리그2,20230429,전남,충남아산,광양 전용,1077.0
422,K리그2,20230603,충남아산,성남,아산 이순신,1072.0
423,K리그2,20230430,김천,김포,김천 종합,1070.0
424,K리그2,20230830,충북청주,안양,청주 종합,1062.0
425,K리그2,20230624,김천,천안,김천 종합,1060.0
426,K리그2,20230821,성남,부천,탄천 종합,1056.0
427,K리그2,20230415,전남,충북청주,광양 전용,1032.0
428,K리그2,20230715,충남아산,안양,아산 이순신,1032.0
429,K리그2,20230930,충남아산,서울E,아산 이순신,1019.0
430,K리그2,20230703,충북청주,성남,청주 종합,1014.0
431,K리그2,20230719,성남,경남,탄천 종합,992.0
432,K리그2,20230827,천안,충북청주,천안 종합,990.0
433,K리그2,20230710,충남아산,전남,아산 이순신,956.0
434,K리그2,20230603,천안,경남,천안 종합,952.0
435,K리그2,20230312,성남,충남아산,탄천 종합,949.0
436,K리그2,20230723,충남아산,부천,아산 이순신,930.0
437,K리그2,20230819,안산,충남아산,안산 와스타디움,927.0
438,K리그2,20230829,충남아산,경남,아산 이순신,927.0
439,K리그2,20230502,천안,안양,천안 종합,920.0
440,K리그2,20230806,김천,성남,김천 종합,906.0
441,K리그2,20230408,천안,김천,천안 종합,905.0
442,K리그2,20230521,김천,충북청주,김천 종합,893.0
443,K리그2,20230715,안산,부천,안산 와스타디움,887.0
444,K리그2,20230715,천안,충북청주,천안 종합,885.0
445,K리그2,20230719,김천,충남아산,김천 종합,885.0
446,K리그2,20230930,안산,김포,안산 와스타디움,873.0
447,K리그2,20230710,김천,부산,김천 종합,866.0
