"MATCH_SEQ_NO","MATCH_DE","BASE_YEAR","BASE_MT","BASE_DAY","GRP_NM","LEA_NM","HOME_TEAM_NM","AWAY_TEAM_NM","STDM_NM","SPORTS_VIEWNG_NMPR_CO","COLCT_DE","UPDT_DE"
1998,"20231129","2023","11","29",KLEAGUE,플레이오프,경남,부천,창원 축구센터,2099.00000,"20250716","20250716"
1999,"20240403","2024","04","03",KBO,정규리그,SSG,두산,문학,12128.00000,"20250716","20250716"
2000,"20230805","2023","08","05",KLEAGUE,K리그2,김포,안양,김포솔터축구장,2092.00000,"20250716","20250716"
2001,"20240404","2024","04","04",KBO,정규리그,KT,KIA,수원,10722.00000,"20250716","20250716"
2002,"20230722","2023","07","22",KLEAGUE,K리그1,수원FC,광주,수원 종합,2083.00000,"20250716","20250716"
2003,"20240404","2024","04","04",KBO,정규리그,한화,롯데,한밭,12000.00000,"20250716","20250716"
2004,"20231126","2023","11","26",KLEAGUE,K리그2,김포,경남,김포솔터축구장,2060.00000,"20250716","20250716"
2005,"20240404","2024","04","04",KBO,정규리그,LG,NC,잠실,11406.00000,"20250716","20250716"
2006,"20240404","2024","04","04",KBO,정규리그,SSG,두산,문학,14249.00000,"20250716","20250716"
2007,"20230820","2023","08","20",KLEAGUE,K리그2,전남,김천,광양 전용,2058.00000,"20250716","20250716"
2008,"20240404","2024","04","04",KBO,정규리그,삼성,키움,대구,8193.00000,"20250716","20250716"
2009,"20230919","2023","09","19",KLEAGUE,K리그2,충북청주,서울E,청주 종합,2057.00000,"20250716","20250716"
2010,"20240405","2024","04","05",KBO,정규리그,키움,한화,고척,16000.00000,"20250716","20250716"
2011,"20230814","2023","08","14",KLEAGUE,K리그2,부천,경남,부천 종합,2053.00000,"20250716","20250716"
2012,"20240405","2024","04","05",KBO,정규리그,LG,KT,잠실,13818.00000,"20250716","20250716"
2013,"20240405","2024","04","05",KBO,정규리그,롯데,두산,사직,12289.00000,"20250716","20250716"
2014,"20230429","2023","04","29",KLEAGUE,K리그2,경남,천안,창원 축구센터,2024.00000,"20250716","20250716"
2015,"20240405","2024","04","05",KBO,정규리그,NC,SSG,창원,5452.00000,"20250716","20250716"
2016,"20230318","2023","03","18",KLEAGUE,K리그2,경남,충북청주,창원 축구센터,2011.00000,"20250716","20250716"
2017,"20240405","2024","04","05",KBO,정규리그,KIA,삼성,광주,14233.00000,"20250716","20250716"
2018,"20230903","2023","09","03",KLEAGUE,K리그2,김포,서울E,김포솔터축구장,1998.00000,"20250716","20250716"
2019,"20240406","2024","04","06",KBO,정규리그,키움,한화,고척,16000.00000,"20250716","20250716"
2020,"20240406","2024","04","06",KBO,정규리그,LG,KT,잠실,21824.00000,"20250716","20250716"
2021,"20230305","2023","03","05",KLEAGUE,K리그2,전남,경남,광양 전용,1975.00000,"20250716","20250716"
2022,"20240406","2024","04","06",KBO,정규리그,롯데,두산,사직,19208.00000,"20250716","20250716"
2023,"20230708","2023","07","08",KLEAGUE,K리그2,충북청주,안양,청주 종합,1949.00000,"20250716","20250716"
2024,"20240406","2024","04","06",KBO,정규리그,NC,SSG,창원,11064.00000,"20250716","20250716"
2025,"20230503","2023","05","03",KLEAGUE,K리그2,김포,성남,김포솔터축구장,1915.00000,"20250716","20250716"
